English,Korean
the,그만큼
of,~의
and,그리고
to,에게
in,~에
i,나
that,저것
was,~였다
his,그의
he,그
it,그것
with,~와 함께
is,~이다
for,~을 위한
as,~처럼
had,가졌다
you,너
not,~ 아니다
be,BE
her,그녀의
on,~에
at,~에
by,~에 의해
which,어느
have,가지다
or,또는
from,~에서
this,이것
him,그를
but,하지만
all,모두
she,그녀
they,그들
were,~이었다
my,나의
are,~이다
me,나
one,하나
their,그들의
so,그래서
an,안
said,말했다
them,그들을
we,우리
who,WHO
would,~일 것이다
been,계속 ~ 이다
will,~ 할 것이다
no,아니요
when,언제
there,거기
if,만약에
more,더
out,밖으로
into,~ 안으로
do,하다
any,어느
your,당신의
what,무엇
has,가지다
man,남성
could,~할 수 있었다
other,다른
than,~보다
our,우리의
some,일부
very,매우
time,시간
upon,...에
about,~에 대한
may,5월
its,그것은
only,오직
now,지금
like,좋다
little,작은
then,그 다음에
can,~할 수 있다
should,~해야 한다
made,만들어진
did,했다
us,우리를
such,그런
a,에이
great,엄청난
before,~ 전에
must,~ 해야 하다
two,둘
these,이것들
see,보다
know,알다
over,~ 위에
much,많이
down,아래에
after,~ 후에
first,첫 번째
Mr,씨
good,좋은
men,남자들
own,소유하다
never,절대
most,최대
old,오래된
shall,~일 것이다
day,낮
where,어디
those,저것들
came,왔다
come,오다
himself,그 자신
way,방법
work,일하다
life,삶
without,없이
go,가다
make,만들다
well,잘
through,~을 통해
being,존재
long,긴
say,말하다
might,~할 것 같다
how,어떻게
am,~이다
too,~도
even,심지어
def,데프
again,다시
many,많은
back,뒤쪽에
here,여기
think,생각하다
every,모든
people,사람들
went,갔다
same,같은
last,마지막
thought,생각
away,떨어져 있는
under,아래에
take,가져가다
found,설립하다
hand,손
eyes,눈
still,아직
place,장소
while,~하는 동안
just,단지
also,또한
young,어린
yet,아직
though,그렇지만
against,~에 맞서
get,얻다
ever,항상
give,주다
god,하나님
years,연령
off,끄다
face,얼굴
nothing,아무것도 아님
right,오른쪽
once,한 번
another,또 다른
left,왼쪽
part,부분
saw,봤다
house,집
world,세계
head,머리
three,삼
took,가지고 갔다
new,새로운
love,사랑
always,언제나
Mrs,부인
put,놓다
night,밤
